target_id,segment_index,speaker,old_start,old_end,new_start,new_end,old_segment_sha256,new_segment_sha256,status
PASSION24.TEXT.RELATED_HOUR_17.BODY.P183,0,JESUS,0,64,0,65,0b99f68d5dcd95d3cbdd2b0566855049b7ec9c70d308334f8c90f0b830916099,99063cea3d3ab31019dfe110a36545875637d19f660eb70569320ede00de614e,PASS
PASSION24.TEXT.RELATED_HOUR_17.BODY.P183,1,JESUS,65,137,66,138,816d9d94beb635d502f5918ccd1834158b633c4bfdf423d1ed7a0d9dc5407c90,816d9d94beb635d502f5918ccd1834158b633c4bfdf423d1ed7a0d9dc5407c90,PASS
PASSION24.TEXT.RELATED_HOUR_13.BODY.P134,0,JESUS,0,183,0,184,2b943133c3ec4554c814f0e0cdfc2c93123a4882fe7f6b13cbabe0103649886f,c556d307925ff631b879e7fbd48bb3661e73763fe4389f4b4312f276b6a49a8b,PASS
PASSION24.TEXT.RELATED_HOUR_13.BODY.P138,0,JESUS,0,37,0,37,94d485175369027b74029fb6056a9dbffc42f52843a8951493c3e739d9413e1c,94d485175369027b74029fb6056a9dbffc42f52843a8951493c3e739d9413e1c,PASS
PASSION24.TEXT.RELATED_HOUR_13.BODY.P138,1,JESUS,38,67,63,93,69f9f8c4cecdc84b0c494630c7c5adb782ca9ba386fbe39ab96954318093a188,ca3f4aba6f835e56330acfc2fcdc0689c386ce4cf734683b608908a95f291656,PASS
PASSION24.TEXT.RELATED_HOUR_13.BODY.P138,2,JESUS,68,79,94,107,d2027ba6de45fbed8862e822d0aa142cb09a916c54279c8b507349f91b06d833,90989f9e31d45f918d32799e50fb1d8f24c62ec2cef8b358af54dbbb6c848398,PASS
PASSION24.TEXT.RELATED_HOUR_13.BODY.P138,3,JESUS,80,193,108,196,b0b32ce9cf63f4e59349ae0d15668252495de04db95e82215e8e9e64258a52f2,9b76f82f32633100e2269af84488269b2a550aaac06070cd6f671eb446d66df6,PASS
PASSION24.TEXT.RELATED_HOUR_13.BODY.P056,0,JESUS,0,61,0,61,cfc40034607ef9a4d7a50e4a2ca989290484a791b7c7b4a1871eac910945f71d,cfc40034607ef9a4d7a50e4a2ca989290484a791b7c7b4a1871eac910945f71d,PASS
PASSION24.TEXT.RELATED_HOUR_13.BODY.P056,1,JESUS,62,101,62,101,3ab06085de716e313584ce264f2bd1c31fea971e5cb7f74265666f5895b0e25d,3ab06085de716e313584ce264f2bd1c31fea971e5cb7f74265666f5895b0e25d,PASS
PASSION24.TEXT.RELATED_HOUR_13.BODY.P056,2,JESUS,102,130,102,128,08860605a64a6cbca54765a105661fd142b7942922d7273a237463ad3fac06cd,044dbf6846025fcf6f2eb01b083672e087621c4a9083085e43fe933e497d81ed,PASS
PASSION24.TEXT.RELATED_HOUR_13.BODY.P056,3,JESUS,131,142,132,134,6ea2439a7900b5f230bb4a20a8ba7a5c7c6cd923d5e6df6b5523573fe1f51b17,959a45d44e6fcf58361ed004681556fe50129f2109e817dec098c00c9e5d2578,PASS
PASSION24.TEXT.RELATED_HOUR_13.BODY.P057,0,JESUS,0,13,0,15,16a26366169883182eb01db64ea11bdfa94d2728f98ead39839dbed08001087a,d7b5eb174b19b06a16ef34c47c2d99e8a470f8c6417e4802f66fc73dc8b3a31f,PASS
PASSION24.TEXT.RELATED_HOUR_13.BODY.P057,1,JESUS,14,73,16,75,b9bf28848d9bd1241ef139f578b770e074e7b6bafa1772c4b12fee0ba8b7746f,b9bf28848d9bd1241ef139f578b770e074e7b6bafa1772c4b12fee0ba8b7746f,PASS
PASSION24.TEXT.RELATED_HOUR_13.BODY.P039,0,JESUS,0,104,0,104,074adcef40fa290a1d3e1c4e4adfd7763204eb44c28f9775473f3732ba2c497f,074adcef40fa290a1d3e1c4e4adfd7763204eb44c28f9775473f3732ba2c497f,PASS
PASSION24.TEXT.RELATED_HOUR_13.BODY.P039,1,JESUS,105,176,105,170,43693d82993bacc947bab5b81916581afbba57429e62d5b7e48be8498b7628e4,854e1f3140d7fa4819c4503546f009760daa82a8cdc04c16fe67686e96be656e,PASS
PASSION24.TEXT.RELATED_HOUR_13.BODY.P039,2,JESUS,177,431,171,421,981bc1c67ea2a1621a460de7e67932ab03dc39787ff40c44f7b4c1b8f42045e4,9910dc73d88352345597833a5d7ef2a1f200f3553cd8009cbccc21f21eec8017,PASS
PASSION24.TEXT.RELATED_HOUR_15.BODY.P126,0,JESUS,0,51,0,50,7fc92580196a45d03cfd76f3e873d0d5f8e4a89c47d62c8c49d0c5af2b2777f9,3aa936abb1ef8fc2e6b4a5a707fc81719a19ff7b01d7c1f6907ff69f3cd59fa2,PASS
PASSION24.TEXT.RELATED_HOUR_15.BODY.P126,1,JESUS,52,673,51,672,969233e0e4580067f1ef11ffdcc0c7e98f4e2956609fd94ba428fcaec1b877d4,969233e0e4580067f1ef11ffdcc0c7e98f4e2956609fd94ba428fcaec1b877d4,PASS
PASSION24.TEXT.RELATED_HOUR_15.BODY.P185,0,JESUS,0,73,0,73,d7b4153900a4dd088723f551afa35dfdd083a3aa189f0f0a6895560efdb987d6,7ebf6ff67eb8203eebe38724f1b5902da9a3575ac3d3d25f4e80630f62a085b7,PASS
