group_key,para_id,start,end,text_sha256
PASSION24.HOUR.01.P001:0-230,PASSION24.HOUR.01.P001,0,230,1b6691d2ba7f23eb8ce10ff4490f881b7ee26e0b627d79dbcbb679fd23b20d7c
PASSION24.HOUR.01.P002:0-200,PASSION24.HOUR.01.P002,0,200,40e34c2d42d72ea1094eecff0d5fffe3578257f60c23ca3c4644425a4ffa0ac5
PASSION24.HOUR.01.P003:0-179,PASSION24.HOUR.01.P003,0,179,3dcd4c77b6b7a301715f53d5f0960dc932d25f93d1411931dc9b7ee8c89889c3
PASSION24.HOUR.01.P004:0-179,PASSION24.HOUR.01.P004,0,179,a72392eec219f55054f2c6bbd89134e2d2753234f23340afa09c00e49dd5de00
PASSION24.HOUR.01.P005:0-293,PASSION24.HOUR.01.P005,0,293,f0fb81a3ffe216b2e539fa73b7ac51c11c9c4d41be707f65971afe8b9ad225a7
PASSION24.HOUR.01.P006:0-171,PASSION24.HOUR.01.P006,0,171,b06267ef90406e3e74c74980c0fbc4df558e81c54e3b85c3635f746c6d0201a7
PASSION24.HOUR.01.P007:0-218,PASSION24.HOUR.01.P007,0,218,96bb54734d1bb3b0b1750e34ec5121acc791541110e5b9a870dfc774de23755a
PASSION24.HOUR.01.P008:0-110,PASSION24.HOUR.01.P008,0,110,18ec57ace16af4263e49e5f67000f5768970eecdbdd184323a0fd14d0dde6679
PASSION24.HOUR.01.P008:110-214,PASSION24.HOUR.01.P008,110,214,20c255a25a02799d95b27f14cf9c8648ea1785d42da0f623aac4622b52267ca8
PASSION24.HOUR.01.P009:0-224,PASSION24.HOUR.01.P009,0,224,e596e30dcd5eeb668902a73a83264f2997bafcccd797a10a13c6dfeb63ef1031
PASSION24.HOUR.01.P010:0-284,PASSION24.HOUR.01.P010,0,284,dfc1615d3a2c5c05d71cdf1ac6c5c3c4a649b8abb9044ffaec6bd584a236a040
PASSION24.HOUR.01.P011:0-421,PASSION24.HOUR.01.P011,0,421,ab784436952049df1c6b23a2c893dd905cadcce2b4214c8370413f5842d866f4
PASSION24.HOUR.01.P012:0-72,PASSION24.HOUR.01.P012,0,72,43e24cd9a6ff6ee0eb1ff0387c06d1cc079416215b4d289c7ca2bbafd1f8c65b
