record_kind,target,prev_id,next_id,offset,v101101_native_offset,v101103_break_evidence,classification,final_action,speaker_before,speaker_after,quote_role_around_boundary,RA19B_flow_action,reason,evidence_path
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.01.P008,,,87,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,MARY,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.01.P008,,,111,110,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,MARY,,,,v101.103 boundary is displaced from native v101.101 offset 110; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.01.P014,,,94,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,MARY,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.01.P014,,,120,119,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,MARY,,,,v101.103 boundary is displaced from native v101.101 offset 119; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.02.P012,,,264,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.02.P014,,,204,203,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 203; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.02.P015,,,15,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.02.P015,,,148,147,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 147; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.04.P034,,,114,113,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 113; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.04.P062,,,21,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.04.P065,,,94,93,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 93; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.05.P009,,,60,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.05.P028,,,484,483,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 483; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.05.REF.P005,,,143,142,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 142; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.06.P012,,,107,106,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 106; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.07.P007,,,166,165,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 165; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.07.P015,,,148,147,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 147; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.07.P030,,,23,22,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 22; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.07.P117,,,229,228,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 228; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.07.P125,,,129,128,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 128; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.08.P007,,,75,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.08.P007,,,112,111,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 111; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.08.P008,,,43,42,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 42; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.08.P009,,,14,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.08.P009,,,43,42,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,JESUS,,,v101.103 boundary is displaced from native v101.101 offset 42; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.08.P009,,,112,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,JESUS,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.08.P009,,,141,140,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 140; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.08.P012,,,298,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.08.P014,,,22,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.08.P014,,,35,34,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 34; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.09.P006,,,39,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.09.P010,,,148,147,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 147; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.10.P002,,,141,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.10.P002,,,207,206,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 206; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.11.P006,,,196,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.11.P010,,,142,141,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 141; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.11.P021,,,252,251,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 251; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.11.P030,,,126,126,present,V101101_SPEECH_END_BOUNDARY_KEEP,KEEP,JESUS,,,,Exact v101.101 speech-end boundary exists at this offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.13.P005,,,18,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.13.P005,,,148,147,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 147; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.14.P004,,,95,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
