target_id,run_index,start,end,presentation_speaker,adjudicated
PASSION24.HOUR.01.P008,1,87,108,MARY,NO
PASSION24.HOUR.01.P014,1,94,117,MARY,NO
PASSION24.HOUR.02.P009,1,2,92,MARY,NO
PASSION24.HOUR.02.P012,1,264,389,JESUS,NO
PASSION24.HOUR.02.P014,1,2,201,JESUS,NO
PASSION24.HOUR.02.P015,1,15,145,JESUS,NO
PASSION24.HOUR.03.P003,1,2,101,JESUS,NO
PASSION24.HOUR.04.P005,1,2,341,JESUS,NO
PASSION24.HOUR.04.P006,1,0,84,JESUS,NO
PASSION24.HOUR.04.P007,1,0,167,JESUS,NO
PASSION24.HOUR.04.P008,1,0,139,JESUS,NO
PASSION24.HOUR.04.P009,1,0,45,JESUS,NO
PASSION24.HOUR.04.P010,1,0,141,JESUS,NO
PASSION24.HOUR.04.P020,1,2,98,JESUS,NO
PASSION24.HOUR.04.P021,1,0,189,JESUS,NO
PASSION24.HOUR.04.P029,1,2,222,JESUS,NO
PASSION24.HOUR.04.P030,1,0,121,JESUS,NO
PASSION24.HOUR.04.P031,1,0,252,JESUS,NO
PASSION24.HOUR.04.P032,1,0,111,JESUS,NO
PASSION24.HOUR.04.P033,1,0,43,JESUS,NO
PASSION24.HOUR.04.P034,1,0,111,JESUS,NO
PASSION24.HOUR.04.P062,1,21,176,JESUS,NO
PASSION24.HOUR.04.P063,1,0,209,JESUS,NO
PASSION24.HOUR.04.P064,1,0,219,JESUS,NO
PASSION24.HOUR.04.P065,1,0,91,JESUS,NO
PASSION24.HOUR.05.P009,1,60,170,JESUS,NO
PASSION24.HOUR.05.P010,1,0,164,JESUS,NO
PASSION24.HOUR.05.P011,1,0,171,JESUS,NO
PASSION24.HOUR.05.P012,1,0,131,JESUS,NO
PASSION24.HOUR.05.P025,1,2,170,JESUS,NO
PASSION24.HOUR.05.P026,1,0,58,JESUS,NO
PASSION24.HOUR.05.P027,1,0,140,JESUS,NO
PASSION24.HOUR.05.P028,1,0,481,JESUS,NO
PASSION24.HOUR.05.REF.P005,1,2,140,JESUS,NO
PASSION24.HOUR.06.P012,1,2,104,JESUS,NO
PASSION24.HOUR.06.P014,1,2,140,JESUS,NO
PASSION24.HOUR.07.P007,1,2,163,JESUS,NO
PASSION24.HOUR.07.P013,1,2,105,JESUS,NO
PASSION24.HOUR.07.P014,1,0,184,JESUS,NO
PASSION24.HOUR.07.P015,1,0,145,JESUS,NO
PASSION24.HOUR.07.P016,1,2,80,JESUS,NO
PASSION24.HOUR.07.P017,1,0,99,JESUS,NO
PASSION24.HOUR.07.P018,1,0,52,JESUS,NO
PASSION24.HOUR.07.P019,1,0,219,JESUS,NO
PASSION24.HOUR.07.P028,1,2,98,JESUS,NO
PASSION24.HOUR.07.P029,1,0,130,JESUS,NO
PASSION24.HOUR.07.P030,1,0,20,JESUS,NO
PASSION24.HOUR.07.P117,1,2,226,JESUS,NO
PASSION24.HOUR.07.P121,1,2,100,JESUS,NO
PASSION24.HOUR.07.P122,1,0,216,JESUS,NO
PASSION24.HOUR.07.P123,1,0,105,JESUS,NO
PASSION24.HOUR.07.P124,1,0,87,JESUS,NO
PASSION24.HOUR.07.P125,1,0,126,JESUS,NO
PASSION24.HOUR.08.P007,1,75,109,JESUS,NO
PASSION24.HOUR.08.P008,1,2,40,JESUS,NO
PASSION24.HOUR.08.P009,1,14,40,JESUS,NO
PASSION24.HOUR.08.P009,2,112,138,JESUS,NO
