declaration,before_sha256,after_sha256,classification,status
CORPUS,df8b1c1e76443abd5a6201ed5cef3521c4e7a975b09d18c10118cfe9580ea63d,df8b1c1e76443abd5a6201ed5cef3521c4e7a975b09d18c10118cfe9580ea63d,PROTECTED_UNCHANGED,PASS
TEXT_LIBRARY,09329a9751035ab32b3fbde518ab78163425316ba156a04b69e187ab58fa85e5,09329a9751035ab32b3fbde518ab78163425316ba156a04b69e187ab58fa85e5,PROTECTED_UNCHANGED,PASS
HOUR_LINKED_TEXTS,abffddceeaf11cd74f043bea1d97568f2bd1ba28fb1fbc541610d282039c0095,abffddceeaf11cd74f043bea1d97568f2bd1ba28fb1fbc541610d282039c0095,PROTECTED_UNCHANGED,PASS
INTERNAL_SUBHEADINGS,2cdc80893e8afad04d8990d3f7cbd240367fbbac51a360a1d12dcf46636708ae,2cdc80893e8afad04d8990d3f7cbd240367fbbac51a360a1d12dcf46636708ae,PROTECTED_UNCHANGED,PASS
DISPLAY_SEGMENTS,65028fe876ad540a1e74894e3ac1015375d3732267b3992943eecaeaa891c6bd,65028fe876ad540a1e74894e3ac1015375d3732267b3992943eecaeaa891c6bd,PROTECTED_UNCHANGED,PASS
CONTINUITY_GROUPS,3d1cb5f01010bf9b38f86a16cf6b9bb7e4be128b6fe21eca2894c23dbababc2d,3d1cb5f01010bf9b38f86a16cf6b9bb7e4be128b6fe21eca2894c23dbababc2d,PROTECTED_UNCHANGED,PASS
LDC_LIBRARY_FLOW_LAYOUT,7d10dd43644daef8104fc591b08c43f351e592601a756bcf3c433588f9c728d2,7d10dd43644daef8104fc591b08c43f351e592601a756bcf3c433588f9c728d2,PROTECTED_UNCHANGED,PASS
SPEECH_DATA,53d24e099be876caf875f998ace20d7f8bf48484ac1b162ec0adcea36d7d524f,53d24e099be876caf875f998ace20d7f8bf48484ac1b162ec0adcea36d7d524f,PROTECTED_UNCHANGED,PASS
SPEECH_PRESENTATION_ADJUDICATIONS,3713b96ff814055c927e31c0cc138d691712a276e2bb626bdc9e027f49becca5,3713b96ff814055c927e31c0cc138d691712a276e2bb626bdc9e027f49becca5,PROTECTED_UNCHANGED,PASS
SPEECH_PRESENTATION_PROJECTION,effbe6d4511ac1c0838b3dcb141518519d5447f2b7b6d4b8c055cd44b8678099,3ffd8aedbc67ef67d2cbc85719f8cdefbab9723494f9f3a6c47badbaff64e0ca,SCOPED_MUTATION,PASS
VISIBLE_PARAGRAPH_TOPOLOGY,90bb831ee9730020f28865bdcc32763412bc52816c482938f5cfce2097723cb4,4205c84ace0b56640f0df9ca1b71c77c937b2da205b38f1e20f5265f47236bdf,SCOPED_MUTATION,PASS
