sequence,target_id,offset,char,depth,role,paired_target,paired_offset
PASSION24.HOUR.01:med,PASSION24.HOUR.01.P008,85,«,1,QUOTED_FORMULA_OR_TITLE_KEEP,PASSION24.HOUR.01.P008,109
PASSION24.HOUR.01:med,PASSION24.HOUR.01.P008,109,»,1,QUOTED_FORMULA_OR_TITLE_KEEP,PASSION24.HOUR.01.P008,85
PASSION24.HOUR.01:med,PASSION24.HOUR.01.P009,147,«,1,NARRATIVE_QUOTE_KEEP,PASSION24.HOUR.01.P009,161
PASSION24.HOUR.01:med,PASSION24.HOUR.01.P009,161,»,1,NARRATIVE_QUOTE_KEEP,PASSION24.HOUR.01.P009,147
PASSION24.HOUR.01:med,PASSION24.HOUR.01.P010,194,«,1,NARRATIVE_QUOTE_KEEP,PASSION24.HOUR.01.P010,208
PASSION24.HOUR.01:med,PASSION24.HOUR.01.P010,208,»,1,NARRATIVE_QUOTE_KEEP,PASSION24.HOUR.01.P010,194
PASSION24.HOUR.01:med,PASSION24.HOUR.01.P011,321,«,1,NARRATIVE_QUOTE_KEEP,PASSION24.HOUR.01.P011,335
PASSION24.HOUR.01:med,PASSION24.HOUR.01.P011,335,»,1,NARRATIVE_QUOTE_KEEP,PASSION24.HOUR.01.P011,321
PASSION24.HOUR.01:med,PASSION24.HOUR.01.P014,92,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.HOUR.01.P014,118
PASSION24.HOUR.01:med,PASSION24.HOUR.01.P014,118,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.HOUR.01.P014,92
PASSION24.HOUR.01:med,PASSION24.HOUR.01.P018,145,«,1,NARRATIVE_QUOTE_KEEP,PASSION24.HOUR.01.P018,159
PASSION24.HOUR.01:med,PASSION24.HOUR.01.P018,159,»,1,NARRATIVE_QUOTE_KEEP,PASSION24.HOUR.01.P018,145
PASSION24.HOUR.01:ref,PASSION24.HOUR.01.REF.P009,312,«,1,NARRATIVE_QUOTE_KEEP,PASSION24.HOUR.01.REF.P009,326
PASSION24.HOUR.01:ref,PASSION24.HOUR.01.REF.P009,326,»,1,NARRATIVE_QUOTE_KEEP,PASSION24.HOUR.01.REF.P009,312
PASSION24.HOUR.02:med,PASSION24.HOUR.02.P009,0,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.HOUR.02.P009,93
PASSION24.HOUR.02:med,PASSION24.HOUR.02.P009,93,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.HOUR.02.P009,0
PASSION24.HOUR.02:med,PASSION24.HOUR.02.P012,262,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.HOUR.02.P012,390
PASSION24.HOUR.02:med,PASSION24.HOUR.02.P012,390,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.HOUR.02.P012,262
PASSION24.HOUR.02:med,PASSION24.HOUR.02.P014,0,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.HOUR.02.P014,202
PASSION24.HOUR.02:med,PASSION24.HOUR.02.P014,202,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.HOUR.02.P014,0
PASSION24.HOUR.02:med,PASSION24.HOUR.02.P015,13,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.HOUR.02.P015,146
PASSION24.HOUR.02:med,PASSION24.HOUR.02.P015,146,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.HOUR.02.P015,13
PASSION24.HOUR.03:med,PASSION24.HOUR.03.P003,0,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.HOUR.03.P003,102
PASSION24.HOUR.03:med,PASSION24.HOUR.03.P003,102,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.HOUR.03.P003,0
PASSION24.HOUR.03:ref,PASSION24.HOUR.03.REF.P009,315,«,1,NARRATIVE_QUOTE_KEEP,PASSION24.HOUR.03.REF.P009,327
PASSION24.HOUR.03:ref,PASSION24.HOUR.03.REF.P009,327,»,1,NARRATIVE_QUOTE_KEEP,PASSION24.HOUR.03.REF.P009,315
