kind,target_id,offset,next_id,source
local,PASSION24.HOUR.01.P008,87,,presentation_projection
local,PASSION24.HOUR.01.P008,111,,presentation_projection
local,PASSION24.HOUR.01.P014,94,,presentation_projection
local,PASSION24.HOUR.01.P014,120,,presentation_projection
local,PASSION24.HOUR.02.P012,264,,presentation_projection
local,PASSION24.HOUR.02.P014,204,,presentation_projection
local,PASSION24.HOUR.02.P015,15,,presentation_projection
local,PASSION24.HOUR.02.P015,148,,presentation_projection
local,PASSION24.HOUR.04.P034,114,,presentation_projection
local,PASSION24.HOUR.04.P062,21,,presentation_projection
local,PASSION24.HOUR.04.P065,94,,presentation_projection
local,PASSION24.HOUR.05.P009,60,,presentation_projection
local,PASSION24.HOUR.05.P028,484,,presentation_projection
local,PASSION24.HOUR.05.REF.P005,143,,presentation_projection
local,PASSION24.HOUR.06.P012,107,,presentation_projection
local,PASSION24.HOUR.07.P007,166,,presentation_projection
local,PASSION24.HOUR.07.P015,148,,presentation_projection
local,PASSION24.HOUR.07.P030,23,,presentation_projection
local,PASSION24.HOUR.07.P117,229,,presentation_projection
local,PASSION24.HOUR.07.P125,129,,presentation_projection
local,PASSION24.HOUR.08.P007,75,,presentation_projection
local,PASSION24.HOUR.08.P007,112,,presentation_projection
local,PASSION24.HOUR.08.P008,43,,presentation_projection
local,PASSION24.HOUR.08.P009,14,,presentation_projection
local,PASSION24.HOUR.08.P009,43,,presentation_projection
local,PASSION24.HOUR.08.P009,112,,presentation_projection
local,PASSION24.HOUR.08.P009,141,,presentation_projection
local,PASSION24.HOUR.08.P010,22,,presentation_projection
local,PASSION24.HOUR.08.P010,50,,presentation_projection
local,PASSION24.HOUR.08.P012,298,,presentation_projection
local,PASSION24.HOUR.08.P014,22,,presentation_projection
local,PASSION24.HOUR.08.P014,35,,presentation_projection
local,PASSION24.HOUR.08.P015,38,,presentation_projection
local,PASSION24.HOUR.08.P015,51,,presentation_projection
local,PASSION24.HOUR.09.P006,39,,presentation_projection
local,PASSION24.HOUR.09.P010,148,,presentation_projection
local,PASSION24.HOUR.10.P002,141,,presentation_projection
local,PASSION24.HOUR.10.P002,207,,presentation_projection
local,PASSION24.HOUR.11.P006,196,,presentation_projection
local,PASSION24.HOUR.11.P010,142,,presentation_projection
local,PASSION24.HOUR.11.P021,252,,presentation_projection
local,PASSION24.HOUR.11.P030,126,,presentation_projection
local,PASSION24.HOUR.13.P005,18,,presentation_projection
local,PASSION24.HOUR.13.P005,148,,presentation_projection
local,PASSION24.HOUR.14.P004,95,,presentation_projection
local,PASSION24.HOUR.15.P005,163,,presentation_projection
local,PASSION24.HOUR.15.P006,19,,presentation_projection
local,PASSION24.HOUR.16.P015,104,,presentation_projection
local,PASSION24.HOUR.16.P028,77,,presentation_projection
local,PASSION24.HOUR.16.P045,194,,presentation_projection
local,PASSION24.HOUR.17.P014,48,,presentation_projection
local,PASSION24.HOUR.17.P024,183,,presentation_projection
local,PASSION24.HOUR.17.P027,155,,presentation_projection
local,PASSION24.HOUR.17.P044,294,,presentation_projection
local,PASSION24.HOUR.17.P048,116,,presentation_projection
local,PASSION24.HOUR.17.P058,65,,presentation_projection
local,PASSION24.HOUR.17.P059,99,,presentation_projection
local,PASSION24.HOUR.18.P002,52,,presentation_projection
local,PASSION24.HOUR.18.P002,62,,presentation_projection
local,PASSION24.HOUR.18.P002,101,,presentation_projection
local,PASSION24.HOUR.18.P003,88,,presentation_projection
local,PASSION24.HOUR.18.P028,119,,presentation_projection
local,PASSION24.HOUR.18.P031,157,,presentation_projection
local,PASSION24.HOUR.18.P111,189,,presentation_projection
local,PASSION24.HOUR.18.P113,149,,presentation_projection
local,PASSION24.HOUR.19.P018,96,,presentation_projection
local,PASSION24.HOUR.19.P097,564,,presentation_projection
local,PASSION24.HOUR.19.P121,360,,presentation_projection
local,PASSION24.HOUR.19.P126,146,,presentation_projection
local,PASSION24.HOUR.19.P137,120,,presentation_projection
local,PASSION24.HOUR.19.P165,151,,presentation_projection
local,PASSION24.HOUR.19.P166,37,,presentation_projection
local,PASSION24.HOUR.20.P001,23,,presentation_projection
local,PASSION24.HOUR.20.P010,64,,presentation_projection
local,PASSION24.HOUR.20.P016,110,,presentation_projection
local,PASSION24.HOUR.21.P001,20,,presentation_projection
local,PASSION24.HOUR.21.P020,44,,presentation_projection
local,PASSION24.HOUR.21.P020,70,,presentation_projection
local,PASSION24.HOUR.21.P020,84,,presentation_projection
local,PASSION24.HOUR.21.P023,20,,presentation_projection
local,PASSION24.HOUR.21.P023,138,,presentation_projection
local,PASSION24.HOUR.21.P025,93,,presentation_projection
local,PASSION24.HOUR.21.P025,119,,presentation_projection
local,PASSION24.HOUR.21.P025,140,,presentation_projection
local,PASSION24.HOUR.21.P027,217,,presentation_projection
local,PASSION24.HOUR.21.P058,21,,presentation_projection
local,PASSION24.HOUR.21.P059,287,,presentation_projection
local,PASSION24.HOUR.21.P068,87,,presentation_projection
local,PASSION24.HOUR.21.REF.P009,56,,presentation_projection
local,PASSION24.HOUR.22.P001,21,,presentation_projection
local,PASSION24.HOUR.22.P006,147,,presentation_projection
local,PASSION24.HOUR.22.P006,161,,presentation_projection
local,PASSION24.HOUR.22.P017,19,,presentation_projection
local,PASSION24.HOUR.22.P022,24,,presentation_projection
local,PASSION24.HOUR.22.P024,20,,presentation_projection
local,PASSION24.HOUR.22.P028,98,,presentation_projection
local,PASSION24.HOUR.22.P029,89,,presentation_projection
local,PASSION24.HOUR.22.P030,69,,presentation_projection
local,PASSION24.HOUR.22.P031,145,,presentation_projection
local,PASSION24.HOUR.22.REF.P001,216,,presentation_projection
local,PASSION24.HOUR.22.REF.P001,238,,presentation_projection
local,PASSION24.HOUR.23.P011,14,,presentation_projection
local,PASSION24.HOUR.24.DESOL.P014,120,,presentation_projection
local,PASSION24.HOUR.24.DESOL.P027,80,,presentation_projection
local,PASSION24.HOUR.24.DESOL.P037,63,,presentation_projection
local,PASSION24.HOUR.24.DESOL.P068,26,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P004,98,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P017,84,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P021,12,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P037,13,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P055,231,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P057,36,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P095,65,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P102,196,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P102,209,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P106,41,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P108,13,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P110,13,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P116,218,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P122,60,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P122,79,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P136,158,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P149,141,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P153,64,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P169,13,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P175,108,,presentation_projection
local,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P046,13,,presentation_projection
local,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P079,25,,presentation_projection
local,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P091,34,,presentation_projection
