file,pattern,offset,classification
README.md,v101.101,460,BASELINE_PROVENANCE
README.md,v101.101,573,BASELINE_PROVENANCE
README.md,Version 29,289,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,769291,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1580223,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1613306,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1625533,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1629876,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1635783,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1666745,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1679163,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1693070,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1705338,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1714030,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1718727,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1722271,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1737650,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1742781,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1768361,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1774731,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1810360,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1831643,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1864734,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1885335,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1902079,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1911130,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1948393,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1953376,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1974407,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,1989523,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,2009037,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,2056435,CURRENT_AUTHORITY_PROVENANCE
index.html,Version 29,2124077,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,769291,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1580223,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1613306,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1625533,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1629876,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1635783,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1666745,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1679163,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1693070,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1705338,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1714030,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1718727,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1722271,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1737650,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1742781,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1768361,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1774731,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1810360,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1831643,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1864734,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1885335,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1902079,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1911130,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1948393,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1953376,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1974407,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,1989523,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,2009037,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,2056435,CURRENT_AUTHORITY_PROVENANCE
luisa_24_heures.html,Version 29,2124077,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,944,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,7433,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,12435,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,17761,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,23966,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,28091,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,31215,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,38829,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,42802,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,46980,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,53016,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,70834,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,82940,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,91873,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,95298,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,99738,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,103433,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,107513,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,115110,CURRENT_AUTHORITY_PROVENANCE
reports/ldc_flow_reconciliation_ledger.json,Version 29,129833,CURRENT_AUTHORITY_PROVENANCE
