v101.105 prepackage stale-reference scan (before final manifests)
files_scanned=69
patterns=9
hits=346
active_stale_failures=0
HISTORICAL_PROVENANCE_ALLOWED | README.md:5 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | audit/independent_four_pass_audit.json:394 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | audit/independent_four_pass_audit.json:395 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | audit/independent_four_pass_audit.json:396 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | audit/independent_four_pass_audit.md:41 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | audit/independent_four_pass_audit.md:41 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | audit/independent_four_pass_audit.md:41 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | index.html:4792 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | luisa_24_heures.html:4792 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | metadata/build_provenance.json:7 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | metadata/build_provenance.json:4 | DIVINE_QUOTE_PRESENTATION_REGRESSION_REPAIR_R1
HISTORICAL_PROVENANCE_ALLOWED | metadata/user_feedback_authority.md:3 | v101.102
HISTORICAL_PROVENANCE_ALLOWED | prior_scripts/v101102/L24H_v101102_LDC_PRESENTATION_PROJECTION_PARITY_REPAIR_HARDGATED_SCRIPT_2026-08-22.md:5 | v101.102
HISTORICAL_PROVENANCE_ALLOWED | prior_scripts/v101102/L24H_v101102_LDC_PRESENTATION_PROJECTION_PARITY_REPAIR_HARDGATED_SCRIPT_2026-08-22.md:1087 | FINAL_PACKAGE_REOPEN_GATE = PASS
HISTORICAL_PROVENANCE_ALLOWED | prior_scripts/v101102/L24H_v101102_LDC_PRESENTATION_PROJECTION_PARITY_REPAIR_HARDGATED_SCRIPT_2026-08-22.md:1117 | INDEPENDENT_REOPENED_ZIP_AUDIT_GATE = PASS
HISTORICAL_PROVENANCE_ALLOWED | prior_scripts/v101102/L24H_v101102_RELEASE_EVIDENCE_REBUILD_SPEC_2026-08-22.md:1 | v101.102
HISTORICAL_PROVENANCE_ALLOWED | prior_scripts/v101102/README.md:1 | v101.102
HISTORICAL_PROVENANCE_ALLOWED | prior_scripts/v101102/README.md:1 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/allowed_runtime_diff_report.csv:14 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/allowed_runtime_diff_report.csv:15 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/allowed_runtime_diff_report.csv:28 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/allowed_runtime_diff_report.csv:39 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/allowed_runtime_diff_report.csv:29 | DIVINE_QUOTE_PRESENTATION_REGRESSION_REPAIR_R1
HISTORICAL_PROVENANCE_ALLOWED | reports/full_regression_matrix.csv:42 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/full_regression_matrix.csv:42 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:2 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:3 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:4 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:5 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:6 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:7 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:8 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:9 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:10 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:11 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:12 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:13 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:14 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:15 | v101.103
HISTORICAL_PROVENANCE_ALLOWED | reports/hybrid_boundary_decision_ledger.csv:16 | v101.103
