surface_id,visual_paragraph_index,kind,source_target_ids,ranges,inter_record_joins,boundary_before,boundary_origin,visible_normalized_text,canonical_reconstructed_text_sha256
HOUR_01_MEDITATION,0,native_block,PASSION24.HOUR.01.P001,"[{""para_id"":""PASSION24.HOUR.01.P001"",""start"":0,""end"":230,""text"":""Ô Maman céleste, l’heure de la séparation approche, et je me joins à toi. Ô Mère, communique-moi ton Amour et fais-moi partager tes Réparations. Communique-moi ta Douleur car, avec toi, je veux suivre pas à pas mon adorable Jésus.""}]",False,False,NATIVE_BLOCK_START,"Ô Maman céleste, l’heure de la séparation approche, et je me joins à toi. Ô Mère, communique-moi ton Amour et fais-moi partager tes Réparations. Communique-moi ta Douleur car, avec toi, je veux suivre pas à pas mon adorable Jésus.",1b6691d2ba7f23eb8ce10ff4490f881b7ee26e0b627d79dbcbb679fd23b20d7c
HOUR_01_MEDITATION,1,native_block,PASSION24.HOUR.01.P002,"[{""para_id"":""PASSION24.HOUR.01.P002"",""start"":0,""end"":200,""text"":""Et voici que Jésus vient. Tu cours à sa rencontre l’âme toute débordante d’Amour. En Le voyant si pâle et si triste, ton Cœur se serre, les forces te manquent et tu te sens sur le point de t’écrouler.""}]",False,False,NATIVE_BLOCK_START,"Et voici que Jésus vient. Tu cours à sa rencontre l’âme toute débordante d’Amour. En Le voyant si pâle et si triste, ton Cœur se serre, les forces te manquent et tu te sens sur le point de t’écrouler.",40e34c2d42d72ea1094eecff0d5fffe3578257f60c23ca3c4644425a4ffa0ac5
HOUR_01_MEDITATION,2,native_block,PASSION24.HOUR.01.P003,"[{""para_id"":""PASSION24.HOUR.01.P003"",""start"":0,""end"":179,""text"":""Ô ma douce Maman, sais-tu pourquoi l’adorable Jésus est venu te rencontrer ? Il est venu te faire ses adieux, te dire ses dernières Paroles et recevoir tes derniers embrassements.""}]",False,False,NATIVE_BLOCK_START,"Ô ma douce Maman, sais-tu pourquoi l’adorable Jésus est venu te rencontrer ? Il est venu te faire ses adieux, te dire ses dernières Paroles et recevoir tes derniers embrassements.",3dcd4c77b6b7a301715f53d5f0960dc932d25f93d1411931dc9b7ee8c89889c3
HOUR_01_MEDITATION,3,native_block,PASSION24.HOUR.01.P004,"[{""para_id"":""PASSION24.HOUR.01.P004"",""start"":0,""end"":179,""text"":""Ô Mère, je me serre contre toi avec toute la tendresse dont est capable mon cœur, afin que, pressée contre toi, moi aussi je puisse recevoir les embrassements de l’adorable Jésus.""}]",False,False,NATIVE_BLOCK_START,"Ô Mère, je me serre contre toi avec toute la tendresse dont est capable mon cœur, afin que, pressée contre toi, moi aussi je puisse recevoir les embrassements de l’adorable Jésus.",a72392eec219f55054f2c6bbd89134e2d2753234f23340afa09c00e49dd5de00
HOUR_01_MEDITATION,4,native_block,PASSION24.HOUR.01.P005,"[{""para_id"":""PASSION24.HOUR.01.P005"",""start"":0,""end"":293,""text"":""Me dédaigneras-tu ? N’est-ce pas plutôt un réconfort pour ton Cœur d’avoir une âme unie à toi pour partager tes Afflictions et tes Réparations ! Ô Jésus, en cette heure si navrante pour ton Cœur infiniment tendre, quel Enseignement nous donnes-Tu d’obéissance filiale et amoureuse à ta Maman !""}]",False,False,NATIVE_BLOCK_START,"Me dédaigneras-tu ? N’est-ce pas plutôt un réconfort pour ton Cœur d’avoir une âme unie à toi pour partager tes Afflictions et tes Réparations ! Ô Jésus, en cette heure si navrante pour ton Cœur infiniment tendre, quel Enseignement nous donnes-Tu d’obéissance filiale et amoureuse à ta Maman !",f0fb81a3ffe216b2e539fa73b7ac51c11c9c4d41be707f65971afe8b9ad225a7
HOUR_01_MEDITATION,5,native_block,PASSION24.HOUR.01.P006,"[{""para_id"":""PASSION24.HOUR.01.P006"",""start"":0,""end"":171,""text"":""Quelle douce harmonie existe entre Toi et elle ! Quel enchantement suave d’Amour s’élève jusqu’au Trône de l’Éternel et se disperse pour le salut de toutes tes créatures !""}]",False,False,NATIVE_BLOCK_START,Quelle douce harmonie existe entre Toi et elle ! Quel enchantement suave d’Amour s’élève jusqu’au Trône de l’Éternel et se disperse pour le salut de toutes tes créatures !,b06267ef90406e3e74c74980c0fbc4df558e81c54e3b85c3635f746c6d0201a7
HOUR_01_MEDITATION,6,native_block,PASSION24.HOUR.01.P007,"[{""para_id"":""PASSION24.HOUR.01.P007"",""start"":0,""end"":218,""text"":""Ô ma céleste Maman, sais-tu ce que veut de toi l’adorable Jésus ? Rien d’autre que ta dernière bénédiction. Il est vrai que de toutes les parcelles de ton être ne sortent que bénédictions et louanges pour ton Créateur.""}]",False,False,NATIVE_BLOCK_START,"Ô ma céleste Maman, sais-tu ce que veut de toi l’adorable Jésus ? Rien d’autre que ta dernière bénédiction. Il est vrai que de toutes les parcelles de ton être ne sortent que bénédictions et louanges pour ton Créateur.",96bb54734d1bb3b0b1750e34ec5121acc791541110e5b9a870dfc774de23755a
HOUR_01_MEDITATION,7,native_block,PASSION24.HOUR.01.P008,"[{""para_id"":""PASSION24.HOUR.01.P008"",""start"":0,""end"":110,""text"":""Mais en te faisant ses adieux, Jésus veut entendre de ta Bouche ces douces Paroles : « Je Te bénis, ô Fils ! »""}]",False,False,NATIVE_BLOCK_START,"Mais en te faisant ses adieux, Jésus veut entendre de ta Bouche ces douces Paroles : « Je Te bénis, ô Fils ! »",18ec57ace16af4263e49e5f67000f5768970eecdbdd184323a0fd14d0dde6679
HOUR_01_MEDITATION,8,native_block,PASSION24.HOUR.01.P008,"[{""para_id"":""PASSION24.HOUR.01.P008"",""start"":110,""end"":214,""text"":"" Cette bénédiction remédiera aux offenses des créatures, et, douce et suave, descendra jusqu’à son Cœur.""}]",False,True,V101101_SPEECH_END,"Cette bénédiction remédiera aux offenses des créatures, et, douce et suave, descendra jusqu’à son Cœur.",20c255a25a02799d95b27f14cf9c8648ea1785d42da0f623aac4622b52267ca8
HOUR_01_MEDITATION,9,native_block,PASSION24.HOUR.01.P009,"[{""para_id"":""PASSION24.HOUR.01.P009"",""start"":0,""end"":224,""text"":""Je m’unis à toi, ô douce Maman. Et sur les ailes du vent, je veux parcourir le Ciel pour demander au Père, au Saint-Esprit et à tous les anges, un « Je Te bénis » pour Jésus, afin que je puisse Lui apporter ces bénédictions.""}]",False,False,NATIVE_BLOCK_START,"Je m’unis à toi, ô douce Maman. Et sur les ailes du vent, je veux parcourir le Ciel pour demander au Père, au Saint-Esprit et à tous les anges, un « Je Te bénis » pour Jésus, afin que je puisse Lui apporter ces bénédictions.",e596e30dcd5eeb668902a73a83264f2997bafcccd797a10a13c6dfeb63ef1031
